ANO,UF,MUNICIPIO,NOME_MUNICIPIO,COD_ESCOLA,NOME_ESCOLA,REDE,IDEB,NIVEL
2017,BA,2927408,Salvador,29192153,EE - COLEGIO ESTADUAL PROFESSOR NELSON BARROS,Estadual,NA,EM
2017,BA,2927408,Salvador,29192170,EE - COLEGIO ESTADUAL NORMA RIBEIRO - TEMPO INTEGRAL,Estadual,NA,EM
2017,BA,2927408,Salvador,29192188,EE - COLEGIO ESTADUAL CELIA MATA PIRES,Estadual,NA,EM
2017,BA,2927408,Salvador,29192277,EE - COLEGIO ESTADUAL DONA MORA GUIMARAES,Estadual,NA,EM
2017,BA,2927408,Salvador,29192285,EE - COLEGIO ESTADUAL JOSE TOBIAS NETO,Estadual,NA,EM
2017,BA,2927408,Salvador,29192293,EE - COLEGIO ESTADUAL HEITOR VILLA LOBOS,Estadual,NA,EM
2017,BA,2927408,Salvador,29192307,EE - COLEGIO ESTADUAL HELENA MAGALHAES,Estadual,NA,EM
2017,BA,2927408,Salvador,29192331,EE - COLEGIO ESTADUAL PROFESSORA MARILEINE DA SILVA - ANTIGA UEE MARCIA MECCIA,Estadual,NA,EM
2017,BA,2927408,Salvador,29192617,EE - COLEGIO ESTADUAL GENERAL DIONISIO CERQUEIRA,Estadual,NA,EM
2017,BA,2927408,Salvador,29192650,EE - COLEGIO ESTADUAL PROFESSORA GEORGINA RAMOS DA SILVA,Estadual,NA,EM
2017,BA,2927408,Salvador,29192684,EE - COLEGIO ESTADUAL PRESIDENTE GETULIO VARGAS,Estadual,NA,EM
2017,BA,2927408,Salvador,29192790,EE - COLEGIO ESTADUAL HENRIQUETA MARTINS CATHARINO,Estadual,NA,EM
2017,BA,2927408,Salvador,29192889,EE - COLEGIO ESTADUAL DOIS DE JULHO,Estadual,NA,EM
2017,BA,2927408,Salvador,29193095,EE - COLEGIO ESTADUAL JOAO CARIBE,Estadual,NA,EM
2017,BA,2927408,Salvador,29193567,EE - COLEGIO ESTADUAL MARIA AMELIA SANTOS,Estadual,NA,EM
2017,BA,2927408,Salvador,29193966,EE - COLEGIO ESTADUAL MONSENHOR MANOEL BARBOSA,Estadual,NA,EM
2017,BA,2927408,Salvador,29194750,EE - COLEGIO ESTADUAL NOSSA SENHORA DE FATIMA,Estadual,NA,EM
2017,BA,2927408,Salvador,29195608,COLEGIO RAMO DA VIDEIRA,Privada,5,EM
2017,BA,2927408,Salvador,29196434,EE - CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL EM CONTROLE E PROCESSOS INDUSTRIAIS NEWTON SUCUPIRA,Estadual,NA,EM
2017,BA,2927408,Salvador,29196442,IFBA - CAMPUS SALVADOR,Federal,NA,EM
2017,BA,2927408,Salvador,29198780,EE - COLEGIO ESTADUAL PROFESSOR DORIVAL PASSOS - TEMPO INTEGRAL,Estadual,3.1,EM
2017,BA,2927408,Salvador,29199026,EE - COLEGIO ESTADUAL PAULO AMERICO DE OLIVEIRA,Estadual,NA,EM
2017,BA,2927408,Salvador,29199387,EE - CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL FORMACAO E EVENTOS ISAIAS ALVES,Estadual,NA,EM
2017,BA,2927408,Salvador,29199930,EE - COLEGIO ESTADUAL MONTEIRO LOBATO,Estadual,NA,EM
2017,BA,2927408,Salvador,29200024,EE - COLEGIO ESTADUAL RAYMUNDO DE ALMEIDA GOUVEIA,Estadual,NA,EM
2017,BA,2927408,Salvador,29200075,EE - COLEGIO ESTADUAL SARA VIOLETA DE MELLO KERTESZ,Estadual,NA,EM
2017,BA,2927408,Salvador,29336473,EE - COLEGIO ESTADUAL PROFESSOR CARLOS ALBERTO CERQUEIRA,Estadual,2.6,EM
2017,BA,2927408,Salvador,29336627,EE - COLEGIO ESTADUAL DAVID MENDES PEREIRA,Estadual,NA,EM
2017,BA,2927408,Salvador,29336708,EE - COLEGIO ESTADUAL EDUARDO BAHIANA,Estadual,3.4,EM
2017,BA,2927408,Salvador,29343160,EE - COLEGIO ESTADUAL PROFESSOR CARLOS BARROS,Estadual,NA,EM
2017,BA,2927408,Salvador,29343410,COLEGIO ACADEMICO III,Privada,NA,EM
2017,BA,2927408,Salvador,29357829,EE - COLEGIO ESTADUAL DALVA MATOS - TEMPO INTEGRAL,Estadual,NA,EM
2017,BA,2927408,Salvador,29357861,EE - COLEGIO ESTADUAL THALES DE AZEVEDO,Estadual,NA,EM
2017,BA,2927408,Salvador,29357896,EE - COLEGIO ESTADUAL CPM LUIZ TARQUINIO,Estadual,4.2,EM
2017,BA,2927408,Salvador,29360960,EE - COLEGIO ESTADUAL RAYMUNDO MATTA,Estadual,NA,EM
2017,BA,2927408,Salvador,29382017,EE - COLEGIO ESTADUAL OLIVEIRA BRITO - TEMPO INTEGRAL,Estadual,NA,EM
2017,BA,2927408,Salvador,29386535,EE - COLEGIO ESTADUAL LINDENBERGUE CARDOSO,Estadual,NA,EM
2017,BA,2927408,Salvador,29386543,EE - COLEGIO ESTADUAL JOSE AUGUSTO TOURINHO DANTAS,Estadual,NA,EM
2017,BA,2927408,Salvador,29392861,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,Estadual,NA,EM
2017,BA,2927408,Salvador,29393140,COLEGIO ADVENTISTA DA LIBERDADE,Privada,4.7,EM
2017,BA,2927408,Salvador,29404240,EE - COLEGIO ESTADUAL PROFESSORA MARIA ODETTE PITHON RAYNAL,Estadual,NA,EM
2017,BA,2927408,Salvador,29404266,EE - COLEGIO ESTADUAL SETE DE SETEMBRO,Estadual,NA,EM
2017,BA,2927408,Salvador,29404274,EE - COLEGIO ESTADUAL PROFESSORA NOEMIA REGO,Estadual,NA,EM
2017,BA,2927408,Salvador,29404282,EE - COLEGIO ESTADUAL DE PRAIA GRANDE,Estadual,NA,EM
2017,BA,2927408,Salvador,29404290,EE - COLEGIO ESTADUAL PROFESSOR JOSE BARRETO DE ARAUJO BASTOS,Estadual,NA,EM
