UF;MUNICIPIO;NOME_MUNICIPIO;COD_ESCOLA;NOME_ESCOLA;REDE;TXAPROV_TOTAL_2017;TXAPROV_SERIE1_2017;TXAPROV_SERIE2_2017;TXAPROV_SERIE3_2017;TXAPROV_SERIE4_2017;P_2017;TXAPROV_TOTAL_2019;TXAPROV_SERIE1_2019;TXAPROV_SERIE2_2019;TXAPROV_SERIE3_2019;TXAPROV_SERIE4_2019;P_2019;SAEB_MAT_2017;SAEB_PORT_2017;N_2017;SAEB_MAT_2019;SAEB_PORT_2019;N_2019;IDEB_2017;IDEB_2019
BA;2927408;Salvador;29184983;EE - COLEGIO ESTADUAL PROFESSORA LEILA RUBENS FONSECA;Estadual;54.5;38;58.3;74.3;NA;0.526987;91.5;NA;91.4;91.7;NA;0.915498;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29185173;EE - COLEGIO ESTADUAL RAFAEL OLIVEIRA;Estadual;73.7;55;86.6;92.6;NA;0.740224;79.7;69.2;83.1;96.5;NA;0.814172;234.85;225.24;3.359826;257.39;269.49;4.338824;2.5;3.5
BA;2927408;Salvador;29185394;EE - COLEGIO ESTADUAL MARIO AUGUSTO TEIXEIRA DE FREITAS;Estadual;66.7;68.9;69.7;61.7;NA;0.665654;60;70.3;56.7;53.4;NA;0.593026;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29186935;EE - COLEGIO ESTADUAL PADRE JOSE VASCONCELOS;Estadual;67.9;53.6;74.5;86.5;NA;0.687439;71.7;59.1;72.1;88.9;NA;0.713628;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29187001;EE - COLEGIO ESTADUAL POLIVALENTE DE AMARALINA;Estadual;61.6;43.1;69.1;87;NA;0.610154;66.6;52.7;77.6;94.1;NA;0.706066;ND;ND;NA;276.1;277.34;4.71912;NA;3.3
BA;2927408;Salvador;29187010;EE - COLEGIO ESTADUAL POLIVALENTE SAN DIEGO;Estadual;73;65.4;87.2;73.5;NA;0.743239;82.6;NA;73.6;95.8;NA;0.832453;ND;ND;NA;227.77;246.32;3.575956;NA;3
BA;2927408;Salvador;29187303;EE - COLEGIO ESTADUAL LUIZ FERNANDO MACEDO COSTA - TEMPO INTEGRAL;Estadual;54.4;36.2;57.5;84.2;NA;0.527314;51.8;35.5;37;85.2;NA;0.448209;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29187320;EE - CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL EM GESTAO NEGOCIOS E TURISMO LUIZ NAVARRO DE BRITO;Estadual;54.6;65;40.3;61;67.2;0.559653;74.5;56.9;68.6;88.9;91.5;0.736248;ND;ND;NA;266.42;276.44;4.569692;NA;3.4
BA;2927408;Salvador;29187419;EE - COLEGIO ESTADUAL PROFESSORA ELISABETH CHAVES VELOSO;Estadual;70;58.4;74.7;85.7;NA;0.711258;94.7;NA;93.2;95.8;NA;0.944821;ND;ND;NA;271.27;263.7;4.447091;NA;4.2
BA;2927408;Salvador;29187583;EE - COLEGIO ESTADUAL RENAN BALEEIRO;Estadual;57.8;48.1;68.8;65;NA;0.591605;62;59.3;66.7;61.4;NA;0.623149;ND;ND;NA;ND;ND;NA;NA;NA
